                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                    1.3,                0.94621,                  1.206,                0.68042,                0.57086,                0.60692,                0.28927,                 1.9964,                 1.4876,                 1.6747,             0.00025207,             0.00025207,             0.00025207
                     75,                 1.2858,                0.93594,                 1.1983,                0.68246,                0.56522,                0.59742,                0.28282,                 1.9956,                 1.4778,                  1.677,             0.00024307,             0.00024307,             0.00024307
                     76,                 1.2958,                 0.9384,                 1.1931,                0.69626,                0.57378,                0.59673,                0.27847,                 2.0068,                 1.4846,                 1.6813,             0.00023407,             0.00023407,             0.00023407
                     77,                 1.2899,                0.93557,                 1.1994,                0.69004,                0.57658,                0.61029,                0.28598,                 1.9927,                 1.4687,                 1.6813,             0.00022507,             0.00022507,             0.00022507
                     78,                 1.2856,                0.93406,                 1.1955,                0.70933,                 0.5728,                0.60833,                0.28495,                 1.9988,                 1.4578,                 1.6782,             0.00021607,             0.00021607,             0.00021607
                     79,                 1.2734,                0.92786,                 1.1936,                0.71398,                0.55963,                0.60545,                0.28434,                 1.9947,                  1.487,                 1.6799,             0.00020707,             0.00020707,             0.00020707
                     80,                 1.2758,                0.92088,                 1.1857,                0.68444,                0.54622,                0.59346,                0.28376,                 2.0051,                 1.4897,                  1.686,             0.00019807,             0.00019807,             0.00019807
                     81,                 1.2601,                0.91173,                 1.1842,                0.70759,                0.55954,                0.60312,                0.28796,                 1.9992,                  1.452,                 1.6833,             0.00018907,             0.00018907,             0.00018907
                     82,                 1.2625,                0.90726,                 1.1808,                0.70411,                 0.5505,                0.60351,                0.28778,                 1.9928,                 1.4568,                 1.6792,             0.00018007,             0.00018007,             0.00018007
                     83,                 1.2659,                0.90671,                 1.1828,                0.68275,                0.56683,                0.60617,                0.28657,                 2.0028,                 1.4757,                 1.6921,             0.00017107,             0.00017107,             0.00017107
                     84,                 1.2589,                0.90489,                 1.1806,                0.64833,                0.58924,                0.60525,                0.28366,                 2.0041,                  1.457,                 1.6873,             0.00016207,             0.00016207,             0.00016207
                     85,                 1.2626,                0.90647,                 1.1787,                0.66942,                0.57075,                0.60573,                0.28578,                 2.0038,                 1.4607,                 1.6901,             0.00015308,             0.00015308,             0.00015308
                     86,                 1.2627,                0.90045,                 1.1787,                0.70089,                0.56214,                0.61001,                0.28856,                 1.9958,                 1.4568,                 1.6779,             0.00014408,             0.00014408,             0.00014408
                     87,                 1.2359,                0.88954,                 1.1647,                0.67234,                0.56975,                0.60453,                0.28448,                 2.0028,                 1.4655,                 1.6873,             0.00013508,             0.00013508,             0.00013508
                     88,                  1.251,                0.89605,                 1.1773,                0.71394,                0.53288,                0.60131,                0.28943,                  2.003,                 1.4636,                 1.6906,             0.00012608,             0.00012608,             0.00012608
                     89,                 1.2468,                0.89343,                 1.1693,                0.69066,                 0.5529,                0.59537,                0.28543,                  1.995,                 1.4616,                 1.6783,             0.00011708,             0.00011708,             0.00011708
                     90,                 1.2424,                0.88435,                 1.1658,                0.68151,                0.56992,                0.60348,                0.28685,                 2.0016,                 1.4719,                 1.6873,             0.00010808,             0.00010808,             0.00010808
                     91,                 1.1444,                0.76539,                 1.1324,                0.67259,                0.58577,                0.60344,                0.28538,                 2.0207,                 1.4814,                 1.7241,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 1.1219,                0.73759,                 1.1222,                0.73723,                0.53589,                0.60852,                0.28629,                 2.0143,                 1.4717,                 1.7144,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 1.1077,                0.72418,                 1.1131,                0.68044,                0.57132,                0.60646,                0.28738,                 2.0071,                 1.4614,                 1.7101,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 1.1081,                0.72577,                 1.1157,                0.70963,                0.53568,                  0.601,                0.28766,                 2.0023,                 1.4614,                 1.7058,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 1.0983,                0.72064,                  1.109,                0.68054,                0.57113,                0.60769,                0.28628,                 2.0038,                 1.4601,                 1.7149,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 1.0977,                0.71619,                  1.107,                 0.6841,                0.57263,                0.59929,                0.28679,                 2.0027,                 1.4761,                 1.7094,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 1.0914,                0.71223,                 1.1068,                0.68582,                0.56617,                0.60411,                0.28863,                 2.0004,                 1.4775,                 1.7033,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 1.0837,                0.70474,                  1.098,                0.67717,                0.56958,                0.60243,                 0.2893,                 1.9978,                 1.4788,                 1.6998,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 1.0754,                0.70048,                 1.0986,                0.69003,                0.56103,                0.60247,                0.28871,                 1.9986,                 1.4734,                 1.7003,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 1.0804,                0.70283,                 1.1025,                0.70473,                0.55498,                0.61019,                 0.2901,                 1.9985,                 1.4658,                 1.7027,             1.8089e-05,             1.8089e-05,             1.8089e-05
